,,,,
1800w 1536wh,,,,
Day,Price Per Day (AUD),Multi-day discount,Total Price (AUD),Advertised Price
1,45,,45,45
2,45,0%,90,90
3,33.33333333,26%,100,100
4,30,10%,120,145
5,30,0%,150,180
6,30,0%,180,220
7,30,0%,210,224
8,28,7%,224,224
9,28,0%,252,252
10,28,0%,280,280
11,28,0%,308,308
12,28,0%,336,336
13,28,0%,364,364
14,26.42857143,6%,370,370
,,,,
2000w 2048wh,,,,
Day,Price Per Day (AUD),Multi-day discount,Total Price (AUD),
1,45,,45,50
2,45,0%,90,100
3,40,11%,120,130
4,40,0%,160,165
5,40,0%,200,210
6,40,0%,240,250
7,37,8%,259,260
8,35,5%,280,280
9,35,0%,315,315
10,35,0%,350,320
11,35,0%,385,350
12,35,0%,420,384
13,35,0%,455,416
14,30,14%,420,420
,,,,
1800w 3076wh Expanded,,,,
Day,Price Per Day (AUD),Multi-day discount,Total Price (AUD),
1,60,,60,60
2,60,0%,120,120
3,50,17%,150,140
4,45,10%,180,180
5,45,0%,225,225
6,45,0%,270,270
7,40,11%,280,280
8,38,5%,304,305
9,38,0%,342,340
10,35,8%,350,360
11,35,0%,385,385
12,35,0%,420,420
13,35,0%,455,455
14,32.85714286,6%,460,460
,,,,
800w 512wh,,,,
Day,Price Per Day (AUD),Multi-day discount,Total Price (AUD),
1,25,,25,25
2,25,0%,50,50
3,23.33333333,7%,70,70
4,22,6%,88,90
5,22,0%,110,110
6,22,0%,132,130
7,20,9%,140,140
8,19,5%,152,152
9,19,0%,171,171
10,18,5%,180,180
11,18,0%,198,198
12,18,0%,216,216
13,18,0%,234,234
14,17,6%,238,238
,,,,
300Lm Magnetic Light bar,,,,
Day,Price Per Day (AUD),Multi-day discount,Total Price (AUD),
1,,,8,
2,,,16,
3,,,20,
4,,,25,
5,,,25,
6,,,25,
7,,,25,
8,,,30,
9,,,30,
10,,,30,
11,,,30,
12,,,30,
13,,,30,
14,,,30,
,,,,
40L Fridge Freezer,,,,
Day,Price Per Day (AUD),Multi-day discount,Total Price (AUD),
1,12,,12,
2,12,0%,24,
3,12,0%,36,
4,12,0%,48,
5,12,0%,60,
6,12,0%,72,
7,12,0%,84,
8,10,17%,80,
9,10,0%,90,
10,10,0%,100,
11,10,0%,110,
12,10,0%,120,
13,10,0%,130,
14,10,0%,140,
,,,,
75L Fridge Freezer,,,,
Day,Price Per Day (AUD),Multi-day discount,Total Price (AUD),
1,15,,15,
2,15,0%,30,
3,15,0%,45,
4,15,0%,60,
5,15,0%,75,
6,15,0%,90,
7,15,0%,105,
8,12,20%,96,
9,12,0%,108,
10,12,0%,120,
11,12,0%,132,
12,12,0%,144,
13,12,0%,156,
14,12,0%,168,
,,,,
Solar Chill Power pack,,,,
Day,Price Per Day (AUD),Multi-day discount,Total Price (AUD),
1,65,,65,
2,65,0%,130,
3,60,8%,180,
4,60,0%,240,
5,60,0%,300,
6,60,0%,360,
7,60,0%,420,
8,55,8%,440,
9,55,0%,495,
10,55,0%,550,
11,55,0%,605,
12,55,0%,660,
13,55,0%,715,
14,55,0%,770,